,,
8. Coordenar a manutenção das bicicletas do CMASM.,,
,,
CMASM-13.1 — Seção de Apoio Industrial,INÍCIO,PRAZO
"1. Executar serviços de usinagem, instalação, manutenção e reparos mecânicos.",OK,
2. Executar serviços de serralheria.,,
"3. Executar serviços de carpintaria geral, naval e marcenaria.",OK,
4. Executar serviços de pintura em equipamentos e meios do Centro.,OK,
5. Executar manutenção preventiva e corretiva nas embarcações.,,
6. Executar manutenção preventiva e corretiva nos motores das embarcações e viaturas.,,
7. Executar manutenção preventiva e corretiva nas viaturas administrativas.,,
8. Executar manutenção preventiva e corretiva nas viaturas de carga.,,
9. Executar manutenção preventiva e corretiva nas bicicletas do CMASM.,,
,,
CMASM-13.2 — Seção de Eletrônica,INÍCIO,PRAZO
1. Executar pedidos de serviço para reparo de equipamentos eletrônicos e de radiocomunicação.,OK,
2. Zelar pela armazenagem dos equipamentos entregues para reparo.,,
3. Emitir laudos técnicos sobre o estado do material eletrônico.,,
4. Executar e controlar a periodicidade de calibração dos equipamentos de teste e ferramentas.,,
5. Efetuar o controle estatístico e financeiro das calibrações realizadas ou pendentes.,,
